ID,Dag,Maand,Jaar,Tijd,Plaats,Buurt,Straat,Poging,Opgelost
2012386462-1,24,6,2012,22,HOOGVLIET ROTTERDAM,9-HOOGVLIET ZUID,CROMME METH,N,N
2012386464-1,24,6,2012,23,ROTTERDAM,3-C.S. KWARTIER,WEENA,N,J
2012386473-1,25,6,2012,24,ROTTERDAM,7-OOSTERFLANK,MALMOPAD,N,N
2012386569-1,25,6,2012,7,ROTTERDAM,5-MIDDELLAND,MIDDELLANDPLEIN,N,J
2012389157-1,25,6,2012,15,ROTTERDAM,9-GROOT IJSSELMONDE,ENDELDIJK,N,N
2012391075-1,25,6,2012,22,VLAARDINGEN,1-BABBERSPOLDER 1,KLAPROOSSTRAAT,N,N
2012388416-1,26,6,2012,13,RIDDERKERK,2-BOMENBUURT/PARKEN,KASTANJELAAN,N,J
2012388768-1,26,6,2012,18,BARENDRECHT,1-VRIJENBURG,VRIJENBURGLAAN,N,N
2012389051-1,27,6,2012,5,ROTTERDAM,2-COOL,STADHUISPLEIN,N,J
2012389817-1,27,6,2012,15,ROTTERDAM,0-VREEWIJK,VAANWEG,N,N
2012393246-1,27,6,2012,16,ROTTERDAM,9-HET LAGE LAND,LAGELANDSEPAD,N,N
2012390249-1,28,6,2012,1,ROTTERDAM,4-NIEUWE WESTEN,MATHENESSERLAAN,N,N
2012396077-1,28,6,2012,22,ROTTERDAM,3-KRALINGSE BOS,BOSDREEF,N,N
2012392297-1,29,6,2012,17,SPIJKENISSE,5-SNOEKENVEEN,SNOEKENVEEN,N,J
2012392350-1,29,6,2012,18,ROTTERDAM,3-SPANGEN,MATHENESSERDIJK,N,N
2012392396-1,29,6,2012,18,ROTTERDAM,0-VREEWIJK,DALWEG,N,N
2012392448-1,29,6,2012,16,ROTTERDAM,4-OUD CHARLOIS,KAREL DE STOUTEPLEIN,N,N
2012392588-1,29,6,2012,22,ROTTERDAM,2-KRALINGEN OOST,OOSTZEEDIJK BENEDEN,N,N
2012393101-1,29,6,2012,17,SPIJKENISSE,5-SNOEKENVEEN,GADDIJK,N,N
2012394795-1,29,6,2012,16,SPIJKENISSE,9-BUITENGEBIED OVERIG,HEEMRAADLAAN,N,N
2012399843-1,29,6,2012,15,ROTTERDAM,6-ZEVENKAMP,CHARLIE SHAVERSLAAN,N,N
2012392711-1,30,6,2012,2,ROTTERDAM,7-FEIJENOORD,PERSOONSHAVEN,N,N
2012393137-1,30,6,2012,15,ROTTERDAM,6-PROVENIERSWIJK,HARDDRAVERSTRAAT,N,N
2012393288-1,30,6,2012,18,ROTTERDAM,3-SPANGEN,MATHENESSERDIJK,N,N
2012393313-1,30,6,2012,19,HOOGVLIET ROTTERDAM,9-HOOGVLIET ZUID,LANGS DE BAAN,N,J
2012396243-1,30,6,2012,13,ROTTERDAM,2-HILLESLUIS,GROENE HILLEDIJK,N,N
2012399748-1,30,6,2012,24,ROTTERDAM,0-DELFSHAVEN,WILLEM BUYTEWECHSTRAAT,N,N
2012394015-1,1,7,2012,16,SCHIEDAM,2-CENTRUM,LANGE KERKSTRAAT,N,J
2012397323-1,1,7,2012,5,ROTTERDAM,7-OOSTERFLANK,TRONDHEIMPAD,N,N
2012394292-1,2,7,2012,24,ROTTERDAM,9-GROOT IJSSELMONDE,GROENE TUIN,N,J
2012395146-1,2,7,2012,15,ROTTERDAM,7-PENDRECHT,THOLENSTRAAT,N,J
2012395541-1,3,7,2012,24,ROTTERDAM,3-KRALINGSE BOS,PLASZOOM,N,N
2012396405-1,3,7,2012,15,ROTTERDAM,9-HET LAGE LAND,PRINSENLAAN,J,J
2012396680-1,3,7,2012,21,ROTTERDAM,9-GROOT IJSSELMONDE,GROTE HAGEN,N,N
2012398286-1,3,7,2012,24,ROTTERDAM,3-KRALINGSE BOS,PLASZOOM,N,N
2012399026-1,3,7,2012,24,ROTTERDAM,3-KRALINGSE BOS,PLASZOOM,N,N
2012404053-1,3,7,2012,21,ROTTERDAM,6-PROVENIERSWIJK,SPOORSINGEL,N,N
2012397907-1,4,7,2012,16,ROTTERDAM,2-TUSSENDIJKE,NOORDSCHANS,N,N
2012397972-1,4,7,2012,20,ROTTERDAM,1-BLOEMHOF,SANDELINGSTRAAT,N,N
2012398040-1,4,7,2012,23,ROTTERDAM,8-BLIJDORPSE POLDER,ROEL LANGERAKWEG,N,J
2012399653-1,4,7,2012,15,ROTTERDAM,0-BEVERWAARD,HERINCKHAVESTRAAT,N,N
2012403137-1,4,7,2012,18,CAPELLE AAN DEN IJSSEL,4-MERELBUURT OOST,WIEKSLAG,N,N
2012404880-1,4,7,2012,23,ROTTERDAM,4-NIEUWE WESTEN,MEVLANAPLEIN,N,J
2012430317-1,4,7,2012,22,ROTTERDAM,8-BLIJDORPSE POLDER,ROEL LANGERAKPARK (PARK),J,J
2012434438-1,4,7,2012,22,ROTTERDAM,8-BLIJDORPSE POLDER,ROEL LANGERAKPARK (PARK),J,J
