ID,Datu,m,,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2012391651-1,23,06,2012,ZA,15:30,16:00,ROTTERDAM,DISTRICT 6,1-Jan,4-RUBROEK,5-5,GERDESIAWEG,,N,N,m
2012393074-1,23,06,2012,ZA,10:30,11:00,ROTTERDAM,DISTRICT 10,7-Jul,7-PENDRECHT,5-5,PAPENDRECHTSTRAAT,3086WL,N,N,v
2012386417-1,24,06,2012,ZO,22:21,22:21,VLAARDINGEN,DISTRICT 1,1-WIJK 1,3-INDISCHE BUURT,0-INDISCHE BUURT,BROEKKADE,,N,N,m
2012386462-1,24,06,2012,ZO,22:42,22:42,HOOGVLIET ROTTERDAM,DISTRICT 10,9-Sep,9-HOOGVLIET ZUID,6-6,CROMME METH,,N,N,m
2012386464-1,24,06,2012,ZO,23:52,23:52,ROTTERDAM,DISTRICT 4,1-Jan,3-C.S. KWARTIER,2-2,WEENA,,N,J,v
2012386473-1,25,06,2012,MA,0:22,1:15,ROTTERDAM,DISTRICT 6,6-Jun,7-OOSTERFLANK,2-2,MALMOPAD,3067PW,N,N,v
2012386569-1,25,06,2012,MA,7:21,7:21,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,4-4,MIDDELLANDPLEIN,,N,J,m
2012389157-1,25,06,2012,MA,15:30,15:40,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,8-8,ENDELDIJK,3079VB,N,N,v
2012391075-1,25,06,2012,MA,22:30,22:30,VLAARDINGEN,DISTRICT 1,5-WIJK 5,1-BABBERSPOLDER 1,0-BABBERSPOLDER 1,KLAPROOSSTRAAT,3135TH,N,N,v
2012388416-1,26,06,2012,DI,13:05,13:05,RIDDERKERK,DISTRICT 9,6-WIJK F,2-BOMENBUURT/PARKEN,2-622,KASTANJELAAN,2982CM,N,J,m
2012388768-1,26,06,2012,DI,18:50,19:10,BARENDRECHT,DISTRICT 10,7-VRIJENBURG,1-VRIJENBURG,9-VRIJENBURG OOST,VRIJENBURGLAAN,2994GN,N,N,m
2012389051-1,27,06,2012,WO,5:45,5:45,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,1-1,STADHUISPLEIN,3012AR,N,J,v
