ID,Dag,Maand,Jaar,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2011211460-1,9,072,011,ZA,23:40,23:50,RIDDERKERK,DISTRICT 9,1-WIJK A,4-RIJNSINGEL/DONCKSEBOS,1-141,RIJNSINGEL,2987SB,Bewolking,Bewolking,m
2011209236-1,10,07,2011,ZO,23:00,23:05,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,0-0,BRIELSELAAN,3081AA,Bewolking,Bewolking,v
2011209587-1,10,07,2011,ZO,18:45,19:00,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,5-5,DORDTSELAAN,3081BN,Bewolking,Bewolking,v
2011209667-1,10,07,2011,ZO,17:10,17:15,SPIJKENISSE,DISTRICT 11,7-AKKERS/VRIESL./VOGELENZ,5-AKKERS-CENTRUM,8-PC 8,NOORDAKKER,3206TC,Bewolking,Bewolking,v
2011207738-1,11,07,2011,MA,6:10,6:20,ROTTERDAM,DISTRICT 10,7-Jul,4-OUD CHARLOIS,6-6,ZUIDHOEK,,Bewolking,Bewolking,m
2011208554-1,11,07,2011,MA,14:38,15:15,ZUIDLAND,DISTRICT 11,6-ZUIDLAND,0-ZUIDLAND,0-ZUIDLAND,KERKWEG,,Bewolking,Bewolking,m
2011209072-1,12,07,2011,DI,10:30,10:30,ROTTERDAM,DISTRICT 10,7-Jul,7-PENDRECHT,4-4,MIDDELHARNISHOF,3086GD,Bewolking,Bewolking,v
2011209306-1,12,07,2011,DI,15:00,15:00,ROTTERDAM,DISTRICT 5,3-Mar,1-BERGPOLDER,4-4,BERGWEG,3038AA,Bewolking,Bewolking,m
2011209536-1,12,07,2011,DI,16:40,16:50,SCHIEDAM,DISTRICT 2,6-ZUID D,1-OOST,7-OOST-7,GALILEISTRAAT,3112PB,Bewolking,Bewolking,v
2011211249-1,14,07,2011,DO,11:30,11:35,VLAARDINGEN,DISTRICT 1,7-WIJK 7,1-HOOFDSTEDENBUURT,0-HOOFDSTEDENBUURT,OSLOPAD,,Bewolking,Bewolking,v
2011211632-1,14,07,2011,DO,18:00,18:00,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,9-9,COOLHAVEN,3024AM,J,J,v
2011212361-1,15,07,2011,VR,14:05,14:05,ROTTERDAM,DISTRICT 9,8-Aug,2-HILLESLUIS,3-3,BEIJERLANDSELAAN,,Bewolking,J,m
2011212842-1,15,07,2011,VR,23:54,23:54,ROTTERDAM,DISTRICT 5,3-Mar,1-BERGPOLDER,2-2,GORDELWEG,3038GD,Bewolking,J,m
2011213075-1,15,07,2011,VR,23:50,23:50,ROTTERDAM,DISTRICT 5,3-Mar,1-BERGPOLDER,2-2,GORDELWEG,3038GD,Bewolking,Bewolking,v
2011212961-1,16,07,2011,ZA,3:39,3:39,ROTTERDAM,DISTRICT 3,2-Feb,2-TUSSENDIJKE,3-3,JAN KRUIJFFSTRAAT,,Bewolking,J,v
2011213407-1,16,07,2011,ZA,7:10,7:20,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,2-2,MAURITSWEG,3012JV,Bewolking,Bewolking,v
2011213573-1,16,07,2011,ZA,20:48,20:58,SCHIEDAM,DISTRICT 2,1-NOORD A,7-KETHEL/TUINDORP/BEATRIX,5-TUINDORP/KETHEL-5,HOF VAN SPALAND,3121CC,Bewolking,Bewolking,m
2011223355-2,16,07,2011,ZA,20:00,21:00,OUDDORP ZH,DISTRICT 11,2-OUDDORP BUITEN,2-OUDDORP BUITEN,2-OUDDORP BUITEN,PORT ZELANDE,3253MG,Bewolking,Bewolking,m
